詞語,讀音,備註
T,thi1,
T恤,,
Android,oe1 jiok,
RIME,le2 m1,
在許,,
扗許,,
在扗,,
冊那,tsak na1,
戳倷,tsak na1,
乾坤,gie1 khuen1,
乾隆,gie1 lung1,
貼貼,,
小姊妹,,
觀前,,
觀前街,,
浙江大學,,
蘇州大學,,
蘇州中心,,
復旦大學,,
太陽,,
太陽頭裏,,
旺太陽,,
瞎子太陽,,
太陽光,,
陰頭裏,,
天狗喫太陽,,
野太陽喫家太陽,,
月亮,,
月亮頭裏,,
天狗喫月亮,,
野月亮喫家月亮,,
暗星夜,,
天河,,
掃帚星,,
大風,,
颱風,,
順風,,
頂頭風,,
頂頭老逆風,,
起風,,
吹風,,
風停着,,
風嘸不着,,
烏雲,,
雷響,,
陣頭響,,
空陣頭,,
天打,,
豁閃,hueh shie2,
落雨,,
小雨,,
毛毛雨,,
大雨,,
陣頭雨,,
雨停着,,
雨弗落着,,
落像着,,
結冰,,
凌堂,,
冰排,,
落雪,,
大雪,,
雪珠,,
雨夾雪,,
春雪,,
雪煬着,,
露水,,
霜打,,
迷露,,
天氣,,
好天,,
陰子天,,
天熱,,
天冷,,
風涼,,
暖熱,,
太陽旺,,
熱顯,,
伏裏,,
頭伏,,
二伏,,
大伏,,
末伏,,
發冷信,,
拗春冷,,
連底凍,,
半山腰,,
山腳下,,
山澗水,,
稻田,,
菜地,,
水凼,,
陰溝,,
河灘丄,,
天落水,,
橑檐頭水,,
發大水,,
冷水,,
溫吞水,,
熱水,,
滾水,,
石頭,,
小石頭,,
石卵子,,
沙泥,,
土坯,,
磚坯,,
磚頭,,
碎磚頭,,
方磚,,
瓦爿,,
灰塵,,
塳塵,,
檐塵,,
爛泥,,
金子,,
銀子,,
洋鉛皮,,
洋油,,
石灰,,
梗灰,,
水泥,,
水門汀,,
吸鐵石,,
夫炭,,
柏油,,
桐油,,
煤炭,,
村莊,,
弄堂,,
城門洞,,
閻王路,,
場許,,
地方,,
上頭,,
下頭,,
濟面,,
濟手面,,
右面,,
橫多裏,,
地當中,,
內當中,,
前頭,,
後頭,,
前腳,,
後腳,,
末腳,,
屁股頭,,
對過,,
門前,,
眼門前,,
背後頭,,
陰山背後,,
世界天丄,,
裏向,,
裏勢,,
外頭,,
外勢,,
邊丄,,
邊邊丄,,
邊丄向,,
近段,,
轉角嘴,,
天丄,,
地丄,,
臺子丄,,
城裏向,,
城裏,,
鄉下頭,,
鄉下,,
心裏向,,
心裏,,
手裏向,,
手裏,,
路邊丄,,
水裏向,,
水裏,,
山丄,,
路丄,,
街丄,,
鎮丄,,
牆頭丄,,
車子丄,,
門口頭,,
樓腳下頭,,
腳底下,,
牀底下,,
碗底坨,,
望裏向走,,
望外頭走,,
望前頭走,,
回頭走,,
春天,,
熱天,,
秋天,,
冷天,,
打春,,
曆本,,
月份牌,,
大年夜,,
小年夜,,
年夜頭,,
年初一,,
拜年,,
正月半,,
清明節,,
寒食節,,
端午節,,
八月半,,
中秋節,,
七月初七,,
七月半,,
重陽節,,
冬至,,
今年,,
舊年,,
開年,,
前年子,,
大前年子,,
往年,,
後年,,
大後年,,
閏年,,
年初頭丄,,
年底,,
一個月,,
一個號頭,,
軟熱,,
號頭,,
大月,,
小月,,
正月,,
閏月,,
閏幾月,,
着上個月,,
着上個號頭,,
上個月,,
上個號頭,,
這個月,,
這個號頭,,
下個月,,
下個號頭,,
號頭丄,,
月半,,
月底,,
一個禮拜,,
日腳,,
今朝,,
今朝點,,
昨日,,
昨日処,,
昨日子処,,
明朝,,
後日,,
前日,,
前日子,,
前日子処,,
大前日,,
大後日,,
箇日,,
箇日子,,
箇日子処,,
禮拜日,,
禮拜,,
一日天,,
大半日,,
半日天,,
上半日,,
上晝,,
上晚晝,,
中丄快,,
中丄,,
中晝心裏,,
下半日,,
下晝,,
下晚晝,,
半夜三更,,
半夜把,,
大清老早,,
天亮快,,
朝丄,,
日裏,,
夜快,,
垂夜快,,
黃昏,,
黃昏頭,,
夜裏,,
夜頭,,
一夜天,,
半夜把,,
上半夜,,
下半夜,,
陰曆,,
陽曆,,
日朝,,
日逐辰光,,
一點敲過,,
老底子,,
老法頭,,
從前,,
前番,,
前伐,,
先起頭,,
上上來,,
上勒丄,,
姑歇,,
姑掀,,
目前,,
目後,,
後手來,,
後來,,
過後,,
以後,,
一歇,,
一歇歇,,
晏歇,,
等歇,,
阿掀點,,
此番,,
三日兩頭,,
日常世間,,
插秧,,
罱河泥,,
耘稻,,
耥稻,,
斫稻,,
斫麥,,
斫草,,
斫柴,,
摜稻,,
摜麥,,
軋米,,
拔草,,
稻穗頭,,
坌地,,
堊田,,
炕缸,,
豬窠灰,,
捉狗屎,,
肥田粉,,
澆水,,
車水,,
拎水,,
吊水,,
鋤頭,,
鐵搭,,
鐮刀,,
糞桶,,
水車,,
棧條,,
風車,,
磨子,,
磨爿,,
上爿,,
下爿,,
磨心,,
石臼,,
鍘刀,,
斫刀,,
扁擔,,
蒲包,,
叉袋,,
麻叉袋,,
榔頭,,
斧頭,,
鋸子,,
推刨,,
木屑,,
刨花,,
斬片,,
洋釘,,
老虎鉗,,
結鑷子,,
鉸鏈,,
紙金,,
剃頭刀,,
軋剪,,
鐾刀布,,
洋機,,
熨斗,,
梭子,,
山笆,,
升籮,,
栲栳,,
作臺板,,
店家,,
棧房,,
客棧,,
喫食店,,
飯店,,
菜館,,
菜思館,,
酒店,,
麪店,,
布店,,
百貨店,,
菸紙店,,
醬園,,
米店,,
茶館店,,
剃頭店,,
肉墩頭,,
染坊,,
冶坊,,
典當,,
當頭,,
噹噹頭,,
贖當頭,,
煤球店,,
混堂,,
南貨店,,
老虎竈,,
薰胴擔,,
跑單幫,,
招牌,,
廣告,,
合本,,
做生意,,
店面,,
店堂,,
擺攤頭,,
盤貨,,
櫃檯,,
租房子,,
排門板,,
色板,,
合算,,
討虛頭,,
老價三,,
拆蝕,,
蝕本,,
折本,,
倒板帳,,
殺價,,
上市,,
落市,,
打烊,,
擱煞貨,,
零散銅鈿,,
零散,,
側倒,,
盤纏,,
運道好,,
賬房,,
開銷,,
賺銅鈿,,
喫賠賬,,
利鈿,,
討債,,
水牌,,
發票,,
躉當,,
銅鈿,,
銅錢,,
鈔票,,
票子,,
洋鈿,,
洋錢,,
骨鈿,,
一塊,,
一塊洋鈿,,
一隻羊,,
一角,,
一角洋鈿,,
銅板,,
一個銅板,,
一個銅鈿,,
角子,,
工鈿,,
本鈿,,
算盤,,
秤盤,,
秤星,,
秤梗,,
秤着鉤,,
秤砣,,
秤紐繩,,
磅秤,,
戥盤秤,,
戥盤,,
鐵路,,
火車,,
公路,,
汽車,,
站頭,,
貨色車,,
公共汽車,,
三輪車,,
黃包車,,
人力車,,
黃魚車,,
黃行車,,
腳踏車,,
塌車,,
老爺車,,
航船,,
駛蓬船,,
舢板,,
網船,,
篙子,,
平箕,,
跳板,,
撐篙,,
搖櫓,,
背纖,,
扭繃,,
推艄,,
扳艄,,
擺渡船,,
擺渡,,
擺渡口,,
輪船,,
機帆船,,
插蠟燭,,
衆牲,,
雄馬,,
雌馬,,
雄牛,,
雌牛,,
黃牛,,
水牛,,
小牛,,
驢子,,
騾子,,
羊媽媽,,
綿羊,,
山羊,,
小羊,,
雄狗,,
雌狗,,
巴兒狗,,
雄貓,,
雌貓,,
豬玀,,
豬玀玀,,
老豬婆,,
小豬,,
兔子,,
雞瓜瓜,,
雞腳爪,,
雄雞,,
雌雞,,
小雞,,
伏小雞,,
老伏雞,,
討伏雞,,
踏雄,,
雞蛋,,
生蛋,,
雞冠頭,,
雞腳爪,,
雞仔,,
鴨連連,,
雄鴨,,
雌鴨,,
鴨蛋,,
白烏龜,,
鵝得頭,,
老鴉,,
喜鵲,,
麻雀,,
燕子,,
雁鵝,,
